export,python_test_reference,r_test_reference
diagnose_gazepoint_biometrics_workflow,True,True
diagnose_gazepoint_cluster_design,True,True
diagnose_gazepoint_sync_drift,True,True
downsample_gazepoint_data,True,True
enhance_gazepoint_ppg_peaks,True,True
epoch_gazepoint_scr,True,True
estimate_gazepoint_breathing_rate_from_ibi,True,True
estimate_gazepoint_cluster_offset,True,True
estimate_gazepoint_cluster_onset,True,True
estimate_gazepoint_eda_recovery_times,True,True
estimate_gazepoint_lsl_clock_offsets,True,True
estimate_gazepoint_respiration_from_ppg,True,True
estimate_gazepoint_samplerate_datetime,True,True
estimate_gazepoint_samplerate_mstimer,True,True
estimate_gazepoint_signal_lag,True,True
export_gazepoint_audit_trail_markdown,True,True
export_gazepoint_biometrics_report_bundle,True,True
export_gazepoint_cluster_results,True,True
export_gazepoint_heartpy_input,True,False
export_gazepoint_mne_cluster_input,True,True
export_gazepoint_permuco_cluster_input,True,True
export_gazepoint_permutes_cluster_input,True,True
export_gazepoint_pipeline_dot,True,True
export_gazepoint_pspm_model_estimates,True,True
export_gazepoint_pyhrv_results,True,True
export_gazepoint_rhrv_input,True,True
export_gazepoint_to_bids,True,True
extract_gazepoint_beats_kmeans,True,True
extract_gazepoint_bilateral_eda_asymmetry,True,True
extract_gazepoint_eda_complexity,True,True
extract_gazepoint_eda_events_biosppy_style,True,True
extract_gazepoint_eda_spectral_power,True,True
extract_gazepoint_eda_tvsymp,True,True
extract_gazepoint_edr_pca,True,True
extract_gazepoint_hrv_asymmetry,True,True
extract_gazepoint_hrv_features,True,True
extract_gazepoint_hrv_fragmentation,True,True
extract_gazepoint_hrv_fuzzy_csi,True,True
extract_gazepoint_hrv_geometric,True,True
extract_gazepoint_hrv_nonlinear,True,True
extract_gazepoint_hrv_rcmse,True,True
extract_gazepoint_hrv_rqa,True,True
extract_gazepoint_markerinfo_pspm_style,True,True
extract_gazepoint_pdr_signals,True,True
extract_gazepoint_ppg_morphology,True,True
extract_gazepoint_ppg_templates,True,True
extract_gazepoint_pyhrv_nn_intervals,True,True
extract_gazepoint_respiration_ceemdan,True,True
extract_gazepoint_scr_recovery_times,True,True
extract_gazepoint_segments_pspm_style,True,True
extract_gazepoint_ttl_events,True,True
filter_gazepoint_gaze,True,True
filter_gazepoint_ibi_implausible,True,True
filter_gazepoint_ppg_butterworth,True,True
filter_gazepoint_ppg_signal,True,True
filter_gazepoint_signal,True,True
fit_gazepoint_convolution_glm,True,True
flag_gazepoint_artifacts_svm,True,True
flag_gazepoint_biometric_dropouts,True,True
flag_gazepoint_hrv_segments,True,True
flag_gazepoint_mad_artifacts,True,True
flag_gazepoint_ppg_quality,True,True
flag_gazepoint_rr_outliers,True,True
flag_kleckner_eda_artifacts,True,True
flip_gazepoint_ppg_signal,True,True
format_gazepoint_biometrics_feature_inventory,True,True
fuse_gazepoint_respiration_kalman,True,True
gazepoint_interoperability_manifest,True,True
generate_gazepoint_manifest,True,True
get_gazepoint_plot_data,True,True
get_gazepoint_plot_settings,True,True
gpbiometrics_info,True,True
import_gazepoint_biometric_folder,True,True
import_gazepoint_biometrics,True,True
import_gazepoint_data,True,True
import_gazepoint_data_summary,True,True
import_gazepoint_event_log,True,True
import_gazepoint_lsl_xdf,True,True
import_gazepoint_pyhrv_results,True,True
impute_gazepoint_missing,True,True
interpolate_gazepoint_pupil_blinks,True,True
join_gazepoint_biometrics_to_gp3tools,True,True
join_gazepoint_biometrics_to_master,True,True
match_gazepoint_events_to_biometrics,True,True
merge_gazepoint_recordings_pspm_style,True,True
model_gazepoint_eda_point_process,True,True
model_gazepoint_hr_point_process,True,True
model_gazepoint_hrv_ipfm,True,True
normalize_gazepoint_scr,True,True
optimize_gazepoint_cvxeda_tau,True,True
pipeline_comparison_dashboard,True,True
plot_gazepoint_aoi_biometrics,True,True
plot_gazepoint_biometric_quality,True,True
plot_gazepoint_biometric_report_dashboard,True,True
plot_gazepoint_biometric_signals,True,True
plot_gazepoint_cluster_null_distribution,True,True
plot_gazepoint_cluster_permutation,True,True
plot_gazepoint_design_coverage,True,True
plot_gazepoint_eda_decomposition,True,True
plot_gazepoint_eda_gram,True,True
plot_gazepoint_export_profile,True,True
plot_gazepoint_missingness,True,True
plot_gazepoint_multimodal_timeline,True,True
plot_gazepoint_ppg_breathing,True,False
plot_gazepoint_ppg_peak_detection,True,False
plot_gazepoint_ppg_poincare,True,False
plot_gazepoint_ppg_segmentwise,True,False
plot_gazepoint_pyhrv_hr_heatplot,True,False
plot_gazepoint_pyhrv_radar_chart,True,False
plot_gazepoint_pyhrv_tachogram,True,False
plot_gazepoint_saccade_main_sequence,True,True
plot_gazepoint_scr_events,True,True
plot_gazepoint_scr_specification_curve,True,True
plot_gazepoint_signal_activity,True,True
plot_gazepoint_signal_quality,True,True
plot_gazepoint_time_resets,True,True
prepare_gazepoint_aoi_biometrics_model_data,True,True
prepare_gazepoint_artifact_svm_features,True,True
prepare_gazepoint_bids_eye,True,True
prepare_gazepoint_bids_physio,True,True
prepare_gazepoint_biometrics_lme_data,True,True
prepare_gazepoint_biosppy_input,True,True
prepare_gazepoint_ctsi_input,True,True
prepare_gazepoint_cvxeda_input,True,True
prepare_gazepoint_eyetrackingr_input,True,True
prepare_gazepoint_gazer_input,True,True
prepare_gazepoint_heartpy_input,True,True
prepare_gazepoint_ledalab_input,True,True
prepare_gazepoint_mixed_model_data,True,True
prepare_gazepoint_mne_events,True,True
prepare_gazepoint_mne_input,True,True
prepare_gazepoint_multimodal_model_data,True,True
prepare_gazepoint_neurokit_eda_input,True,True
prepare_gazepoint_pspm_dcm_input,True,True
prepare_gazepoint_pspm_input,True,True
prepare_gazepoint_pupillometryr_input,True,True
prepare_gazepoint_pyhrv_input,True,True
prepare_gazepoint_pyppg_input,True,True
prepare_gazepoint_rhrv_input,True,True
prepare_gazepoint_scr_hurdle_model_data,True,True
prepare_gazepoint_timecourse_test_data,True,True
preprocess_gazepoint_all,True,True
preprocess_gazepoint_scr_pspm_style,True,True
process_gazepoint_ppg_heartpy_style,True,True
process_gazepoint_ppg_segmentwise,True,True
profile_gazepoint_export_folder,True,True
recommend_gazepoint_biometric_exclusions,True,True
reconstruct_gazepoint_ppg_clipping,True,True
regress_gazepoint_pupil_luminance,True,True
reject_gazepoint_ppg_peaks,True,True
remove_gazepoint_ppg_baseline_wander,True,True
report_gazepoint_cluster_permutation,True,True
report_gazepoint_data_quality,True,True
respiration_from_ppg,True,True
run_gazepoint_automated_statistics,True,True
run_gazepoint_biometrics_real_data_readiness,True,True
run_gazepoint_biometrics_workflow,True,True
run_gazepoint_biosppy_eda,True,True
run_gazepoint_biosppy_ppg,True,True
run_gazepoint_cluster_permutation,True,True
run_gazepoint_cluster_permutation_anova,True,True
run_gazepoint_cluster_permutation_covariate_adjusted,True,True
run_gazepoint_cluster_permutation_lmer,True,True
run_gazepoint_cluster_permutation_parallel,True,True
run_gazepoint_cluster_threshold_sensitivity,True,True
run_gazepoint_eda_analysis_pipeline,True,True
run_gazepoint_heartpy_crosscheck,True,False
run_gazepoint_multidimensional_cluster_permutation,True,True
run_gazepoint_neurokit_eda_crosscheck,True,True
run_gazepoint_online_design_optimization,True,True
run_gazepoint_pyhrv_style,True,True
run_gazepoint_real_data_smoke,True,True
run_gazepoint_scr_multiverse,True,True
run_gazepoint_scr_threshold_sensitivity,True,True
run_gazepoint_tfce,True,True
run_gpbiometrics_shiny,True,True
run_gpbiometrics_shiny_annotator,True,True
scale_gazepoint_ppg_sections,True,False
scale_gazepoint_ppg_signal,True,True
screen_gazepoint_eda_nonresponders,True,True
segment_gazepoint_pyhrv_nni,True,True
session_info_gazepoint,True,True
simulate_gazepoint_artifact,True,True
simulate_gazepoint_biometrics,True,True
simulate_gazepoint_cluster_timecourse_data,True,True
simulate_gazepoint_eye_data,True,True
simulate_gazepoint_multimodal_data,True,True
smooth_gazepoint_biometrics,True,True
smooth_gazepoint_ppg_signal,True,True
smooth_gazepoint_pupil,True,True
split_gazepoint_sessions_pspm_style,True,True
standardise_gazepoint_adaptive_ema,True,True
standardise_gazepoint_biometric_names,True,True
standardise_gazepoint_biometrics_within_unit,True,True
standardise_gazepoint_plot_contract,True,True
standardise_gazepoint_range_correction,True,True
standardise_gazepoint_zscore,True,True
standardize_gazepoint_adaptive_ema,True,False
standardize_gazepoint_biometrics_within_unit,True,True
standardize_gazepoint_column_names,True,True
standardize_gazepoint_columns,True,True
standardize_gazepoint_plot_contracts,True,True
standardize_gazepoint_range_correction,True,False
standardize_gazepoint_zscore,True,False
summarise_gazepoint_aoi_biometrics,True,True
summarise_gazepoint_biometric_validity,True,True
summarise_gazepoint_biometrics_feature_inventory,True,True
summarise_gazepoint_biometrics_workflow,True,True
summarise_gazepoint_decision_log,True,True
summarise_gazepoint_dial_windows,True,True
summarise_gazepoint_engagement_windows,True,True
summarise_gazepoint_fixations_by_aoi,True,True
summarise_gazepoint_full_biometric_windows,True,True
summarise_gazepoint_gsr_tonic_phasic,True,True
summarise_gazepoint_gsr_windows,True,True
summarise_gazepoint_hr_windows,True,True
summarise_gazepoint_hrv_features,True,True
summarise_gazepoint_ibi_hrv_windows,True,True
summarise_gazepoint_ibi_windows,True,True
summarise_gazepoint_multimodal_windows,True,True
summarise_gazepoint_scr_event_windows,True,True
summarize_gazepoint_aoi_dwell,True,True
summarize_gazepoint_audit_trail,True,True
summarize_gazepoint_beat_corrections,True,True
